순번,취업일자,연령,장애유형,중증여부,근무지역,취업직종대분류
150,2022-01-01,23,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
151,2022-01-01,83,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
152,2022-01-01,44,시각장애,경증,충북 충주시,청소 및 기타 개인서비스직
153,2022-01-01,80,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
154,2022-01-01,52,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
155,2022-01-01,77,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
156,2022-01-01,81,청각장애,중증,충북 충주시,청소 및 기타 개인서비스직
157,2022-01-01,42,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
158,2022-01-01,50,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
159,2022-01-01,38,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
160,2022-01-01,31,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
161,2022-01-01,46,청각장애,중증,충북 충주시,청소 및 기타 개인서비스직
162,2022-01-01,51,시각장애,중증,충북 충주시,청소 및 기타 개인서비스직
163,2022-01-01,47,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
164,2022-01-01,56,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
165,2022-01-01,51,시각장애,중증,충북 충주시,청소 및 기타 개인서비스직
166,2022-01-01,75,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
167,2022-01-01,72,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
168,2022-01-01,35,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
169,2022-01-01,63,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
170,2022-01-01,41,청각장애,중증,충북 충주시,청소 및 기타 개인서비스직
171,2022-01-01,77,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
172,2022-01-01,33,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
173,2022-01-01,45,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
174,2022-01-01,35,뇌병변장애,중증,충북 충주시,인쇄·목재·공예 및 기타 설치·정비·생산직
175,2022-01-01,71,시각장애,경증,충북 충주시,청소 및 기타 개인서비스직
176,2022-01-01,41,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
177,2022-01-01,51,뇌병변장애,경증,충북 충주시,청소 및 기타 개인서비스직
178,2022-01-01,64,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
179,2022-01-01,54,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
180,2022-01-01,54,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
181,2022-01-01,49,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
182,2022-01-01,73,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
183,2022-01-01,66,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
184,2022-01-01,56,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
185,2022-01-01,74,시각장애,중증,충북 충주시,청소 및 기타 개인서비스직
186,2022-01-01,58,시각장애,중증,충북 충주시,청소 및 기타 개인서비스직
187,2022-01-01,75,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
188,2022-01-01,46,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
189,2022-01-01,56,시각장애,중증,충북 충주시,청소 및 기타 개인서비스직
190,2022-01-01,70,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
191,2022-01-01,31,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
192,2022-01-01,67,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
193,2022-01-01,46,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
194,2022-01-01,71,시각장애,경증,충북 충주시,청소 및 기타 개인서비스직
195,2022-01-01,65,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
196,2022-01-01,69,언어장애,중증,충북 충주시,청소 및 기타 개인서비스직
197,2022-01-01,32,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
198,2022-01-01,81,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
199,2022-01-01,79,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
200,2022-01-01,34,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
201,2022-01-01,69,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
202,2022-01-01,51,신장장애,경증,충북 충주시,청소 및 기타 개인서비스직
203,2022-01-01,46,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
204,2022-01-01,77,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
205,2022-01-01,75,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
206,2022-01-01,41,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
207,2022-01-01,79,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
208,2022-01-01,57,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
209,2022-01-01,39,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
210,2022-01-01,65,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
211,2022-01-01,34,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
212,2022-01-01,49,뇌병변장애,중증,충북 충주시,청소 및 기타 개인서비스직
213,2022-03-01,21,청각장애,중증,충북 충주시,청소 및 기타 개인서비스직
214,2022-01-01,73,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
215,2022-01-01,76,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
216,2022-01-01,63,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
217,2022-01-01,73,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
218,2022-03-01,20,뇌병변장애,중증,충북 충주시,청소 및 기타 개인서비스직
219,2022-03-01,20,뇌병변장애,중증,충북 충주시,청소 및 기타 개인서비스직
220,2022-03-01,21,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
221,2022-03-01,20,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
222,2022-01-01,40,신장장애,중증,충북 충주시,청소 및 기타 개인서비스직
223,2022-03-01,19,뇌병변장애,중증,충북 충주시,청소 및 기타 개인서비스직
224,2022-01-10,49,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
225,2022-03-01,46,시각장애,중증,충북 충주시,청소 및 기타 개인서비스직
226,2022-03-01,24,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
227,2022-03-01,22,자폐성장애,중증,충북 충주시,청소 및 기타 개인서비스직
228,2022-01-01,76,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
229,2022-01-01,78,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
230,2022-01-01,28,뇌병변장애,중증,충북 충주시,청소 및 기타 개인서비스직
231,2022-03-01,20,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
232,2022-03-01,42,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
233,2022-03-01,24,청각장애,중증,충북 충주시,청소 및 기타 개인서비스직
234,2022-03-01,19,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
235,2022-03-01,19,뇌병변장애,중증,충북 충주시,청소 및 기타 개인서비스직
236,2022-03-01,20,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
237,2022-01-01,69,시각장애,경증,충북 충주시,청소 및 기타 개인서비스직
238,2022-01-01,19,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
239,2022-01-01,78,뇌병변장애,중증,충북 충주시,청소 및 기타 개인서비스직
240,2022-03-01,39,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
241,2022-03-01,21,자폐성장애,중증,충북 충주시,청소 및 기타 개인서비스직
242,2022-03-01,20,뇌병변장애,중증,충북 충주시,청소 및 기타 개인서비스직
243,2022-11-01,54,지체장애,경증,경기 수원시 영통구,경영·행정·사무직
244,2022-09-13,27,자폐성장애,중증,경기 수원시 영통구,경영·행정·사무직
245,2022-10-14,22,자폐성장애,중증,경기 수원시 영통구,경영·행정·사무직
246,2022-09-13,33,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
247,2022-09-13,23,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
248,2022-12-01,22,지체장애,경증,경기 수원시 영통구,경영·행정·사무직
249,2022-10-14,52,뇌병변장애,중증,경기 수원시 영통구,경영·행정·사무직
250,2022-09-13,24,자폐성장애,중증,경기 수원시 영통구,경영·행정·사무직
251,2022-08-11,26,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
252,2022-12-06,27,시각장애,경증,경기 수원시,경영·행정·사무직
253,2022-11-01,47,지체장애,경증,경기 수원시 영통구,경영·행정·사무직
254,2022-09-13,34,정신장애,중증,경기 수원시 영통구,경영·행정·사무직
255,2022-11-14,23,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
256,2022-09-13,56,시각장애,경증,경기 수원시 영통구,경영·행정·사무직
257,2022-11-10,40,지체장애,경증,경기 수원시 영통구,경영·행정·사무직
258,2022-09-13,20,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
259,2022-07-14,32,지적장애,중증,경기 수원시,제조 단순직
260,2022-05-13,25,시각장애,경증,경기 수원시,보건·의료직
261,2022-04-14,25,자폐성장애,중증,경기 수원시 영통구,경영·행정·사무직
262,2022-07-04,53,지체장애,경증,경기 수원시 영통구,경영·행정·사무직
263,2022-07-04,55,지체장애,경증,경기 수원시 영통구,경영·행정·사무직
264,2022-05-13,51,뇌병변장애,경증,경기 수원시,경영·행정·사무직
265,2022-05-13,30,뇌병변장애,경증,경기 수원시 영통구,경영·행정·사무직
266,2022-05-13,36,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
267,2022-05-13,27,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
268,2022-05-13,31,뇌병변장애,경증,경기 수원시,보건·의료직
269,2022-05-11,49,청각장애,경증,경기 수원시 영통구,경영·행정·사무직
270,2022-05-13,32,지적장애,중증,경기 수원시,경영·행정·사무직
271,2022-06-14,26,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
272,2022-06-14,20,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
273,2022-06-14,45,지체장애,경증,경기 수원시 영통구,경영·행정·사무직
274,2022-05-01,33,지체장애,경증,경기 수원시,경영·행정·사무직
275,2022-06-14,28,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
276,2022-06-14,27,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
277,2022-04-14,25,정신장애,중증,경기 수원시 영통구,경영·행정·사무직
278,2022-04-14,25,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
279,2022-04-14,22,시각장애,중증,경기 수원시 영통구,경영·행정·사무직
280,2022-04-14,21,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
281,2022-02-07,47,지체장애,경증,경기 수원시 영통구,경영·행정·사무직
282,2022-03-14,58,뇌병변장애,경증,경기 수원시 영통구,경영·행정·사무직
283,2022-03-14,54,시각장애,경증,경기 수원시 영통구,경영·행정·사무직
284,2022-01-14,49,정신장애,중증,경기 수원시 영통구,경영·행정·사무직
285,2022-03-14,20,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
286,2022-01-14,27,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
287,2022-01-03,28,지적장애,중증,경기 수원시 영통구,청소 및 기타 개인서비스직
288,2022-01-03,47,시각장애,경증,경기 수원시,경영·행정·사무직
289,2022-02-07,23,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
290,2022-03-14,20,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
291,2022-02-07,49,지체장애,경증,경기 수원시 영통구,경영·행정·사무직
292,2022-01-14,52,신장장애,경증,경기 수원시 영통구,경영·행정·사무직
293,2022-01-03,22,지적장애,중증,경기 수원시 영통구,청소 및 기타 개인서비스직
294,2022-01-03,43,정신장애,중증,경기 수원시,경영·행정·사무직
295,2022-01-14,34,지적장애,중증,경기 수원시 영통구,경영·행정·사무직
296,2022-03-14,28,자폐성장애,중증,경기 수원시 영통구,경영·행정·사무직
297,2022-08-01,54,시각장애,중증,인천 미추홀구,보건·의료직
298,2022-06-01,57,시각장애,중증,인천 남동구,보건·의료직
299,2022-01-01,54,시각장애,중증,인천 남동구,보건·의료직
300,2022-04-18,25,청각장애,경증,서울 송파구,경영·행정·사무직
301,2022-04-18,27,뇌병변장애,중증,서울 송파구,경영·행정·사무직
302,2022-04-18,28,심장장애,중증,서울 송파구,경영·행정·사무직
303,2022-10-21,68,지체장애,경증,서울 서초구,청소 및 기타 개인서비스직
304,2022-05-09,52,지체장애,경증,서울 서초구,청소 및 기타 개인서비스직
305,2022-01-01,62,시각장애,경증,서울 서초구,청소 및 기타 개인서비스직
306,2022-03-15,62,지체장애,경증,서울 서초구,청소 및 기타 개인서비스직
307,2022-03-03,54,지적장애,중증,서울 서초구,청소 및 기타 개인서비스직
308,2022-02-25,66,지체장애,경증,인천 부평구,경호·경비직
309,2022-02-24,68,지체장애,경증,인천 연수구,경호·경비직
310,2022-05-10,23,지적장애,중증,대전 동구,경영·행정·사무직
311,2022-07-25,27,지체장애,중증,경남 거제시,금융·보험직
312,2022-03-28,67,지체장애,중증,서울 구로구,경영·행정·사무직
313,2022-03-28,19,지적장애,중증,서울 구로구,경영·행정·사무직
314,2022-07-04,63,신장장애,중증,서울 구로구,청소 및 기타 개인서비스직
315,2022-03-28,62,지체장애,경증,서울 구로구,경영·행정·사무직
316,2022-01-01,51,청각장애,경증,서울 구로구,경영·행정·사무직
317,2022-01-01,28,지적장애,중증,서울 구로구,경영·행정·사무직
318,2022-01-01,65,지체장애,경증,서울 구로구,경영·행정·사무직
319,2022-01-01,66,지체장애,경증,서울 구로구,경영·행정·사무직
320,2022-01-01,61,지체장애,경증,서울 구로구,경영·행정·사무직
321,2022-01-01,42,시각장애,경증,서울 구로구,경영·행정·사무직
322,2022-01-01,63,신장장애,중증,서울 구로구,경영·행정·사무직
323,2022-01-01,58,지체장애,경증,서울 구로구,경영·행정·사무직
324,2022-01-01,69,지체장애,경증,서울 구로구,경영·행정·사무직
325,2022-01-01,56,지체장애,중증,서울 구로구,경영·행정·사무직
326,2022-01-01,37,심장장애,중증,서울 구로구,경영·행정·사무직
327,2022-01-01,73,지체장애,경증,서울 구로구,경영·행정·사무직
328,2022-01-01,60,신장장애,중증,서울 구로구,경영·행정·사무직
329,2022-01-01,22,지적장애,중증,서울 구로구,경영·행정·사무직
330,2022-01-01,62,청각장애,경증,서울 구로구,경영·행정·사무직
331,2022-01-01,66,지체장애,경증,서울 구로구,경영·행정·사무직
332,2022-01-01,20,지적장애,중증,서울 구로구,경영·행정·사무직
333,2022-01-01,56,지체장애,경증,서울 구로구,경영·행정·사무직
334,2022-01-01,72,지체장애,경증,서울 구로구,경영·행정·사무직
335,2022-01-01,50,지적장애,중증,서울 구로구,경영·행정·사무직
336,2022-01-01,64,지체장애,경증,서울 구로구,경영·행정·사무직
337,2022-01-01,58,지체장애,경증,서울 구로구,경영·행정·사무직
338,2022-01-01,40,지적장애,중증,서울 구로구,경영·행정·사무직
339,2022-01-01,51,시각장애,경증,서울 구로구,경영·행정·사무직
340,2022-01-01,43,정신장애,경증,서울 구로구,경영·행정·사무직
341,2022-01-01,66,뇌병변장애,경증,서울 구로구,경영·행정·사무직
342,2022-01-01,30,지적장애,중증,서울 구로구,경영·행정·사무직
343,2022-01-01,41,지적장애,중증,서울 구로구,경영·행정·사무직
344,2022-01-01,24,지체장애,중증,서울 구로구,경영·행정·사무직
345,2022-01-01,24,뇌병변장애,중증,서울 구로구,경영·행정·사무직
