,상권명,자치구,주요도로망 Level5.5 네트워크 기준 인근 도로수,각 링크별 혼잡빈도강도 중 최솟값,각 링크별 혼잡빈도강도 중 최댓값,각 링크별 혼잡빈도강도의 평균값
84,대림역,구로구,15,7,67,36.1
85,신도림역,구로구,34,0,100,43.3
86,오류동,구로구,16,17,100,74.5
87,가산디지털단지역_1,금천구,70,2,100,52.3
88,독산1동,금천구,24,6,87,47.5
89,시흥1동,금천구,16,19,100,74.9
90,시흥4동,금천구,2,54,68,61.0
91,등촌역,양천구,12,27,100,67.9
92,목동 현대백화점,양천구,35,4,85,36.0
93,목동사거리,양천구,15,7,81,37.8
94,신정네거리역,양천구,8,22,49,37.6
95,오목교역,양천구,27,5,85,38.1
96,국회의사당역_1,영등포구,34,1,94,44.0
97,국회의사당역_2,영등포구,45,1,94,39.2
98,당산역_1,영등포구,25,3,74,41.2
99,당산역_2,영등포구,58,3,100,37.5
100,문래동 주민센터,영등포구,26,4,100,53.0
101,여의도역_1,영등포구,30,1,73,42.6
102,여의도역_2,영등포구,41,1,100,50.7
103,영등포구청역,영등포구,22,6,79,39.6
104,영등포시장역,영등포구,39,13,100,54.5
105,영등포역_1,영등포구,35,12,100,54.6
106,영등포역_2,영등포구,45,12,100,53.8
107,영등포역_3,영등포구,32,12,100,56.7
108,영등포유통상가,영등포구,20,22,79,52.4
109,고덕역,강동구,8,24,55,38.0
110,길동역,강동구,22,3,100,62.3
111,둔촌동역,강동구,10,11,75,40.7
112,명일역,강동구,14,14,79,51.4
113,천호역_1,강동구,13,26,100,74.2
114,천호역_2,강동구,19,26,100,69.0
115,강변테크노마트,광진구,20,3,100,65.0
116,건대입구역_1,광진구,16,26,100,71.8
117,건대입구역_2,광진구,10,26,99,65.3
118,구의역,광진구,16,28,100,63.9
119,군자역,광진구,14,36,100,81.5
120,어린이대공원,광진구,18,21,100,63.2
121,왕십리역_1,성동구,20,14,82,37.3
122,왕십리역_2,성동구,14,16,75,36.0
123,장안평 중고차시장골목,성동구,20,6,70,31.6
124,한양시장,성동구,6,22,41,31.0
125,석촌역,송파구,10,3,100,55.7
126,사가정역,중랑구,12,1,86,52.2
127,가락시장,송파구,24,1,100,43.5
128,가락시장역,송파구,12,20,100,58.8
129,문정역,송파구,16,6,100,58.7
130,방이동 먹자골목,송파구,17,14,73,37.8
131,신천역,송파구,25,6,71,34.4
132,잠실역,송파구,17,3,100,68.7
133,잠실역 롯데월드,송파구,38,2,100,52.6
134,장지역,송파구,34,11,100,64.9
135,강남구청역_1,강남구,16,12,60,36.8
136,강남구청역_2,강남구,16,12,60,36.8
137,강남역_3,강남구,25,11,71,42.7
138,강남역_4,강남구,29,17,76,50.6
139,논현역_1,강남구,18,11,72,42.8
140,논현역_2,강남구,10,13,72,44.9
141,논현역_3,서초구,30,11,97,44.4
142,논현역_4,서초구,25,13,90,51.0
143,대치역_1,강남구,14,4,64,31.2
144,대치역_2,강남구,21,4,64,31.2
145,도산공원사거리_1,강남구,20,11,71,34.8
146,뱅뱅사거리,강남구,26,22,76,50.1
147,삼성역_1,강남구,38,6,100,57.2
148,삼성역_2,강남구,27,6,100,68.3
149,삼성역_3,강남구,35,4,100,61.3
150,선릉역_1,강남구,20,5,57,37.4
151,선릉역_2,강남구,20,5,57,37.4
152,선릉역_3,강남구,10,23,57,41.8
153,선릉역_4,강남구,27,9,95,45.0
154,선정릉역_1,강남구,8,26,46,38.2
155,선정릉역_2,강남구,8,26,46,38.2
156,수서역,강남구,16,8,100,63.6
157,신사동가로수길_1,강남구,4,32,58,43.5
158,신사역_1,서초구,20,1,90,46.4
159,신사역_2,강남구,23,12,85,44.2
160,압구정 로데오거리_1,강남구,22,22,60,39.9
161,압구정 로데오거리_2,강남구,33,8,81,37.2
162,압구정역,강남구,47,3,89,38.9
163,양재역_2,강남구,15,6,76,37.9
164,언주역_1,강남구,16,21,80,41.7
165,언주역_2,강남구,16,21,80,41.7
166,역삼역_1,강남구,23,16,76,50.6
167,역삼역_2,강남구,20,5,56,35.6
168,역삼역_3,강남구,19,26,76,53.0
169,역삼역_4,강남구,20,5,56,35.6
170,은마아파트입구사거리_1,강남구,12,19,65,39.2
171,은마아파트입구사거리_2,강남구,12,19,65,39.2
172,은마아파트입구사거리_3,강남구,12,19,65,39.2
173,은마아파트입구사거리_4,강남구,12,19,65,39.2
174,청담사거리_1,강남구,10,23,50,37.4
175,청담사거리_2,강남구,10,23,50,37.4
176,청담사거리_3,강남구,15,23,100,53.5
177,청담역_1,강남구,12,29,100,74.8
178,청담역_2,강남구,15,29,100,77.5
179,코엑스,강남구,32,6,100,64.4
180,포스코사거리_1,강남구,19,9,95,42.6
181,포스코사거리_2,강남구,24,9,95,42.3
182,포이사거리,강남구,8,37,68,47.9
183,포이사거리_2,서초구,10,37,74,52.2
184,학동사거리_1,강남구,20,11,60,35.9
185,학동사거리_2,강남구,10,24,60,39.9
186,학동역_1,강남구,8,32,60,46.9
187,학동역_2,강남구,16,12,60,39.2
188,학동역_3,강남구,16,12,60,39.2
189,학동역_4,강남구,8,32,60,46.9
190,한티역,강남구,18,26,70,46.9
191,대학동,관악구,2,38,43,40.5
192,사당역_1,관악구,16,2,71,34.7
193,사당역_2,동작구,16,2,71,34.7
194,서울대입구역_1,관악구,22,9,79,43.5
195,서울대입구역_2,관악구,25,9,79,42.3
196,신림역_1,관악구,42,6,96,63.5
197,신림역_2,관악구,29,6,96,67.6
198,신림역_3,관악구,30,6,98,59.0
199,신림역_4,관악구,25,6,79,42.8
200,노량진1동,동작구,39,0,76,25.2
201,노량진역,동작구,14,18,74,45.3
202,보라매공원,동작구,25,1,95,38.2
203,신대방삼거리역,동작구,6,45,53,48.8
204,총신대 앞,동작구,2,12,27,19.5
205,총신대입구역_1,동작구,10,31,65,44.9
206,강남역_1,서초구,22,17,71,47.6
207,강남역_2,서초구,24,11,71,39.4
208,고속터미널역,서초구,44,7,98,46.9
209,교대역_1,서초구,26,25,75,48.3
210,교대역_2,서초구,9,29,97,50.2
211,교대역_3,서초구,8,29,69,44.4
212,교대역_4,서초구,8,29,69,44.4
213,남부터미널역_1,서초구,11,27,64,42.0
214,남부터미널역_2,서초구,22,13,75,49.9
215,남부터미널역_3,서초구,14,34,75,52.5
216,매봉역,강남구,14,10,76,41.8
217,방배동카페골목,서초구,21,6,89,56.5
218,방배역,서초구,12,19,69,39.7
219,뱅뱅사거리_3,서초구,18,22,68,47.4
220,사당역,서초구,21,2,71,35.9
221,서초역,서초구,12,25,70,49.1
222,양재 화물트럭터미널앞,서초구,14,1,100,80.7
223,양재동 꽃시장,서초구,28,7,100,73.7
224,양재역_1,서초구,16,6,76,37.7
225,양재역_3,서초구,24,6,76,39.4
226,강남역_5,강남구,19,16,80,46.6
227,서래마을,서초구,16,14,86,46.8
228,신사동사로수길_2,강남구,36,1,90,43.5
229,서울대입구역_3,관악구,23,9,79,43.5
230,미아사거리역_1,강북구,20,27,81,53.0
231,수유역_1,강북구,32,16,93,57.1
232,수유역_2,강북구,30,16,93,58.5
233,수유역_3,강북구,8,30,79,63.1
234,노원역_1,노원구,14,28,100,73.5
235,노원역_2,노원구,21,28,100,69.8
236,노원역_3,노원구,26,18,100,61.9
237,등나무근린공원,노원구,14,40,100,69.4
238,창동역,도봉구,13,20,83,49.3
239,경동시장_1,동대문구,20,27,100,76.7
240,경동시장_2,동대문구,18,27,100,70.9
241,경희대학교,동대문구,0,0,0,0.0
242,신설동역_1,동대문구,22,7,100,60.2
243,장안동사거리,동대문구,6,20,48,35.7
244,청량리역,동대문구,15,26,100,73.9
245,미아사거리,성북구,13,14,99,55.8
246,미아사거리역_2,성북구,11,14,99,51.5
247,성신여대입구역,성북구,10,18,86,56.1
248,안암역,성북구,8,30,54,41.0
249,신설동역_2,동대문구,18,7,100,54.4
250,장한평역_1,동대문구,6,21,39,27.5
251,장한평역_2,동대문구,31,9,96,47.3
